borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,building_age
1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,526,51,A4,88 MACDOUGAL STREET,10012,1,0,1,2002.0,3556.0,1899,1,A4,12500000.0,2016-09-09,117
1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,526,66,A4,186 SULLIVAN STREET,10012,1,0,1,2252.0,3960.0,1899,1,A4,14000000.0,2017-06-22,118
1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,574,27,S1,34 WEST 11TH STREET,10011,1,1,2,2085.0,4488.0,1899,1,S1,11800000.0,2016-10-07,117
1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,575,124,A5,62 WEST 12TH STREET,10011,1,0,1,1996.0,3200.0,1901,1,A5,9500000.0,2017-07-07,116
1,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,542,46,S2,109 MACDOUGAL STREET,10012,2,1,3,1580.0,3902.0,1901,1,S2,5250000.0,2017-01-04,116
1,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,573,18,S2,48 WEST 10TH STREET,10011,2,1,3,1983.0,3864.0,1899,1,S2,10500000.0,2017-08-01,118
1,GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY DWELLINGS                  ,1,567,18,C0,24 EAST 10TH STREET,10003,3,0,3,2306.0,4321.0,1901,1,C0,10182500.0,2017-01-11,116
1,GREENWICH VILLAGE-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,572,15,C2,54 WEST 9TH STREET,10011,5,0,5,1565.0,4060.0,1900,2,C2,10250000.0,2017-06-28,117
1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,584,31,A4,75 BEDFORD STREET,10014,1,0,1,1640.0,2400.0,1901,1,A4,7800000.0,2017-08-15,116
1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,585,69,A5,2 GROVE COURT,10014,1,0,1,384.0,1152.0,1901,1,A5,1375000.0,2016-10-07,115
1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,585,69,A5,2 GROVE COURT,10014,1,0,1,384.0,1152.0,1901,1,A5,1375000.0,2016-10-07,115
1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,606,28,S1,66 GREENWICH AVENUE,10011,1,1,2,925.0,2337.0,1910,1,S1,4065000.0,2017-08-03,107
1,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,615,21,A4,252 WEST 12TH STREET,10014,1,0,1,1764.0,4073.0,1910,1,A4,19000000.0,2017-05-02,107
